id,yr,gr_id,flag_id,fleet_id,ez_id,days,skj_c,yft_c,bet_c,days_arch,skj_arch_c,yft_arch_c,bet_arch_c,alb_c,bum_c,blm_c,mls_c,swo_c
9711,2016,S,TW,,PG,1009.176,20254.159,11739.896,1378.591,4.345209103,48.94504615,28.3699635,3.331424431,0,1.92211164,1.28140776,0.16017597,0
9712,2016,S,TW,,PX,73.869,2227.273,189.769,88.031,0,0,0,0,0,0.2094504,0.1396336,0.0174542,0
9713,2016,S,TW,,SB,278.093,6490.126,3831.64,391.673,1.086314686,28.8334712,17.02270212,1.740072869,0,0.5144586,0.3429724,0.04287155,0
9714,2016,S,TW,,TV,170.55,4597.431,717.749,252.086,0,0,0,0,0,0.44951904,0.29967936,0.03745992,0
9715,2016,S,US,,AS,19.443,296.085,80.391,38.661,0,0,0,0,0,0.08384941,0.03032851,0,0
9716,2016,S,US,,CK,141.218,3592.296,686.801,338.139,0,0,0,0,0,1.08570235,0.39270085,0,0
9717,2016,S,US,,FJ,42.979,1260.623,247.009,82.179,0,0,0,0,0,0.35681977,0.12906247,0,0
9718,2016,S,US,,FM,720.418,18238.337,3096.422,1127.658,0,0,0,0,0,5.60607023,2.02772753,0,0
9719,2016,S,US,,GL,208.758,8241.229,1780.132,685.942,0,0,0,0,0,2.0734661,0.7499771,0,0
9720,2016,S,US,,H4,342.812,12434.293,530.594,98.445,0,0,0,0,0,3.58327624,1.29607864,0,0
9721,2016,S,US,,H5,160.662,3740.392,278.917,103.875,0,0,0,0,0,1.12629484,0.40738324,0,0
9722,2016,S,US,,HB,79.819,2678.736,282.236,87.356,0,0,0,0,0,0.75085414,0.27158554,0,0
9723,2016,S,US,,I2,15.35,0,0,0,0,0,0,0,0,0,0,0,0
9724,2016,S,US,,I4,319.276,9823.424,955.4,718.723,0,0,0,0,0,3.00410323,1.08659053,0,0
9725,2016,S,US,,I5,604.782,23211.023,1908.678,797.578,0,0,0,0,0,6.90009162,2.49577782,0,0
9726,2016,S,US,,JV,1.024,240.395,0,0,0,0,0,0,0,0.04380588,0.01584468,0,0
9727,2016,S,US,,LN,193.408,6416.208,1074.084,1018.783,0,0,0,0,0,2.15094372,0.77800092,0,0
9728,2016,S,US,,MH,346.905,11739.905,1852.815,657.401,0,0,0,0,0,3.60060655,1.30234705,0,0
9729,2016,S,US,,NR,510.637,12006.112,9187.689,887.054,0,0,0,0,0,2.57672706,0.93200766,0,0
9730,2016,S,US,,PF,1.024,0,0,0,0,0,0,0,0,0,0,0,0
9731,2016,S,US,,PG,358.162,9757.125,3503.738,669.449,1.02330465,15.8639544,5.696671905,1.088446485,0,2.69894445,0.97621395,0,0
9732,2016,S,US,,PX,135.078,4165.36,351.606,246.897,0,0,0,0,0,1.25502126,0.45394386,0,0
9733,2016,S,US,,PY,4.093,266.013,23.017,39.574,0,0,0,0,0,0.08349221,0.03019931,0,0
9734,2016,S,US,,SB,65.493,1103.52,330.774,174.866,0,0,0,0,0,0.35643531,0.12892341,0,0
9735,2016,S,US,,TK,153.498,2851.261,498.214,181.95,0,0,0,0,0,0.86941869,0.31447059,0,0
9736,2016,S,US,,TO,18.42,532.852,132.529,37.816,0,0,0,0,0,0.15841585,0.05729935,0,0
9737,2016,S,US,,TV,1042.764,26584.747,3053.326,1671.029,0,0,0,0,0,8.11320204,2.93456244,0,0
9738,2016,S,US,,WS,84.935,1899.182,396.302,158.81,0,0,0,0,0,0.52245858,0.18897438,0,0
9739,2016,S,VN,,VN,11619.8,48823,7195,2081,0,0,0,0,0,47,53,20,20
9740,2016,S,VU,,H4,53.391,258.271,18.922,7.27,0,0,0,0,0,0.20403207,0,0,0
9741,2016,S,VU,,H5,10.074,31.171,1.202,0,0,0,0,0,0,0.02550402,0,0,0
9742,2016,S,VU,,I4,87.642,3330.494,163.395,295.956,0,0,0,0,0,2.60432355,0,0,0
9743,2016,S,VU,,I5,12.089,164.701,0,122.621,0,0,0,0,0,0.16614039,0,0,0
9744,2016,S,VU,,PX,1.007,0,0,0,0,0,0,0,0,0,0,0,0
9745,2016,S,VU,,TV,1.007,0,0,0,0,0,0,0,0,0,0,0,0
9746,2016,T,CA,,I7,0,0,0,0,0,0,0,0,0,0,0,0,0
9747,2016,T,CK,,I7,0,0,0,0,0,0,0,0,21,0,0,0,0
9748,2016,T,ID,,ID,0,0,0,0,0,0,0,0,0,0,0,0,0
9749,2016,T,JP,,JP,0,1238,2014,140,0,0,0,0,148,169,0,0,0
9750,2016,T,NR,,NR,0,3,16,0,0,0,0,0,0,0,0,0,0
9751,2016,T,NZ,,NZ,0,1,2,0,0,0,0,0,1969,0,0,0,0
9752,2016,T,TK,,TK,0,73,106,0,0,0,0,0,0,0,0,0,0
9753,2016,T,TV,,TV,0,194,127,27,0,0,0,0,0,0,0,0,0
9754,2016,T,US,,I7,0,0,0,0,0,0,0,0,145,0,0,0,0
9755,2016,T,US,AS,AS,0,4,4,0,0,0,0,0,0,1,0,0,0
9756,2016,T,US,GU,GU,0,198,58,0,0,0,0,0,0,20,0,0,0
9757,2016,T,US,HW,HW,0,117,464,34,0,0,0,0,1,137,3,12,0
9758,2016,T,US,MP,MP,0,87,9,0,0,0,0,0,0,0,0,0,0
9759,2016,T,WF,,WF,0,4,3,0,0,0,0,0,0,0,0,1,0
9760,2017,G,ID,,ID,0,0,0,0,0,0,0,0,0,0,0,0,0
